rmse_rad,failure_penalized_rmse_rad,itae,peak_error_rad,torque_rms,torque_smoothness,safety_violation_rate,residual_gate_mean,completed,duration_s,return,scenario,controller,model_seed,replicate_seed,eval_episode
0.028871394905721843,0.028871394905721843,0.32378226505848756,0.055197094768358775,15.976690506891561,33.86545979212539,0.0,0.03117569025341709,1.0,6.0,142.72052197427908,nominal,Eval-gated Fuzzy-TD3,2,2,1
0.02886432244963103,0.02886432244963103,0.3243753187171752,0.07502135699441752,15.982517983286938,32.55497504673414,0.0,0.031675127291530075,1.0,6.0,143.54128437430055,nominal,Eval-gated Fuzzy-TD3,2,2,2
0.027770354119752167,0.027770354119752167,0.322154110575704,0.04788733212707214,15.985978643873583,33.882378990753494,0.0,0.028961074449687346,1.0,6.0,146.90182012997997,nominal,Eval-gated Fuzzy-TD3,2,2,3
0.03428571691172565,0.03428571691172565,0.39262860669552113,0.07186764774479767,15.966047535198413,37.231131013823756,0.0,0.043529990541302625,1.0,6.0,117.62157460715794,nominal,Eval-gated Fuzzy-TD3,3,3,0
0.033521681871125364,0.033521681871125364,0.383792186278124,0.06989431847017633,15.960968789064161,36.00393259805867,0.0,0.04181079031720871,1.0,6.0,118.79339694436395,nominal,Eval-gated Fuzzy-TD3,3,3,1
0.03274493160653964,0.03274493160653964,0.3693104105775698,0.0661815187984174,15.988592596210086,35.13146925482145,0.0,0.03997093867911898,1.0,6.0,120.05377015892843,nominal,Eval-gated Fuzzy-TD3,3,3,2
0.0384112264832125,0.0384112264832125,0.4223060922827601,0.077944865976302,15.970094148894017,34.783945277269815,0.0,0.054180652445201656,1.0,6.0,106.52326410656802,nominal,Eval-gated Fuzzy-TD3,3,3,3
0.03304564958839561,0.03304564958839561,0.33600273208043185,0.08669003743634018,16.005709287633525,28.68515684378017,0.0,0.03976386485535431,1.0,6.0,122.48847852264383,nominal,Eval-gated Fuzzy-TD3,4,4,0
0.036509069749605876,0.036509069749605876,0.3539284386478161,0.09984312762562907,15.985551588201858,31.30542485725186,0.0,0.047879938791032806,1.0,6.0,119.08473639542622,nominal,Eval-gated Fuzzy-TD3,4,4,1
0.035974133685388626,0.035974133685388626,0.3503927532233014,0.09637275680192314,15.974168659980569,29.123943425485596,0.0,0.04678829802570133,1.0,6.0,119.76702673244895,nominal,Eval-gated Fuzzy-TD3,4,4,2
0.044839986915048084,0.044839986915048084,0.39600144151112704,0.12466996958112472,15.967070271254812,28.054504724599695,0.0,0.0714775969475512,1.0,6.0,112.11763865789479,nominal,Eval-gated Fuzzy-TD3,4,4,3
0.15510292417639512,0.15510292417639512,2.922113436551676,0.2585309419246865,17.18900221842293,197.72117076954643,0.0,1.0,1.0,6.0,-134.72448968900514,nominal,Fuzzy-SAC residual,0,0,0
0.16107885950135928,0.16107885950135928,3.0314454442079484,0.2801984286015424,16.903895724089196,141.0928391046112,0.0,1.0,1.0,6.0,-112.3055342193671,nominal,Fuzzy-SAC residual,0,0,1
0.16794811736119533,0.16794811736119533,3.136255062915848,0.3024999774873937,16.66206228565148,65.07405601767678,0.0,1.0,1.0,6.0,-100.89004558094004,nominal,Fuzzy-SAC residual,0,0,2
0.15137140919324887,0.15137140919324887,2.873506168839038,0.2559384299850039,17.132498395922447,203.71392481923786,0.0,1.0,1.0,6.0,-125.44193737305831,nominal,Fuzzy-SAC residual,0,0,3
0.2936326360914183,0.2936326360914183,5.984825690638514,0.47913293992818495,16.997477305519546,104.25588735888219,0.0,1.0,1.0,6.0,-361.0470835945355,nominal,Fuzzy-SAC residual,1,1,0
0.2965830174413142,0.2965830174413142,6.030116990485414,0.4791239433726266,17.08255438080903,91.57080524631647,0.0,1.0,1.0,6.0,-372.6125578914695,nominal,Fuzzy-SAC residual,1,1,1
0.2947125912712776,0.2947125912712776,6.005015054399086,0.4791284145344163,17.03637278041973,103.38313092912902,0.0,1.0,1.0,6.0,-363.7435007750929,nominal,Fuzzy-SAC residual,1,1,2
0.29287069352514444,0.29287069352514444,5.9713492800373364,0.4791360292535958,16.973038910530416,91.51356772461966,0.0,1.0,1.0,6.0,-358.4738058170499,nominal,Fuzzy-SAC residual,1,1,3
0.2286780856436073,0.2286780856436073,4.593824126754426,0.3613849215626025,17.434216659357475,263.06112685175026,0.0,1.0,1.0,6.0,-262.747730771338,nominal,Fuzzy-SAC residual,2,2,0
0.23046610267085454,0.23046610267085454,4.642536645607041,0.36137958894315025,17.38097371521109,242.7268342162607,0.0,1.0,1.0,6.0,-261.97796007445555,nominal,Fuzzy-SAC residual,2,2,1
0.22820722129748944,0.22820722129748944,4.582230489260833,0.3614268347506696,17.458792728029138,263.46530139235887,0.0,1.0,1.0,6.0,-266.3060825185727,nominal,Fuzzy-SAC residual,2,2,2
0.23327793265379157,0.23327793265379157,4.7168710338566235,0.36151263228014446,17.35263609685389,211.7165728957286,0.0,1.0,1.0,6.0,-262.520667901336,nominal,Fuzzy-SAC residual,2,2,3
