rmse_rad,failure_penalized_rmse_rad,itae,peak_error_rad,torque_rms,torque_smoothness,safety_violation_rate,residual_gate_mean,completed,duration_s,return,scenario,controller,residual_bound_nm,model_seed,eval_episode
0.41310780879304937,0.41310780879304937,6.193077390935128,1.0065353123225893,19.360703432376212,101.06761017834457,0.18666666666666668,1.0,1.0,6.0,-902.5444979886798,payload_2x,Fuzzy-TD3 residual,10.0,4,1
0.4132383904377207,0.4132383904377207,6.162321163693741,1.0099844592176968,19.323047110551457,107.67664389506699,0.18666666666666668,1.0,1.0,6.0,-889.8857291086985,payload_2x,Fuzzy-TD3 residual,10.0,4,2
0.4142770371154802,0.4142770371154802,6.175323756173351,1.0137420241370398,19.34317000935016,107.23041035368963,0.18666666666666668,1.0,1.0,6.0,-892.99352800108,payload_2x,Fuzzy-TD3 residual,10.0,4,3
0.7231615308240295,0.7231615308240295,10.555544800376612,1.7297566939162183,17.70431570345347,164.03179871918007,0.27666666666666667,1.0,1.0,6.0,-2303.858779765456,severe_shift,Fuzzy-TD3 residual,10.0,4,0
0.7228342207279118,0.7228342207279118,10.576554807658685,1.7273565566244624,17.78602656264995,167.2838004792561,0.27666666666666667,1.0,1.0,6.0,-2314.394637307808,severe_shift,Fuzzy-TD3 residual,10.0,4,1
0.7243476559770907,0.7243476559770907,10.540564979565694,1.7325424553955906,17.69575592437257,151.8088936694398,0.27666666666666667,1.0,1.0,6.0,-2308.1397289498964,severe_shift,Fuzzy-TD3 residual,10.0,4,2
0.7246291118583194,0.7246291118583194,10.543613279920727,1.7339966769312134,17.742642756464466,159.9684873698485,0.27666666666666667,1.0,1.0,6.0,-2311.457876277452,severe_shift,Fuzzy-TD3 residual,10.0,4,3
0.10238841718975408,0.10238841718975408,1.937293730563018,0.1980702710754002,16.441809034234677,46.59231021518108,0.0,1.0,1.0,6.0,20.83032044683939,nominal,Fuzzy-TD3 residual,14.0,0,0
0.10259008657990493,0.10259008657990493,1.9258175365579469,0.1980424872029909,16.376537441899195,45.08174863570388,0.0,1.0,1.0,6.0,15.93201039956533,nominal,Fuzzy-TD3 residual,14.0,0,1
0.10196734128670823,0.10196734128670823,1.9292997515758419,0.19804068896590638,16.416783098471893,43.362910301884135,0.0,1.0,1.0,6.0,21.188683115963958,nominal,Fuzzy-TD3 residual,14.0,0,2
0.10310760446801288,0.10310760446801288,1.9465985819530554,0.1980438081655403,16.46525176936483,47.147186033593165,0.0,1.0,1.0,6.0,19.609374045495972,nominal,Fuzzy-TD3 residual,14.0,0,3
0.4021437668126188,0.4021437668126188,6.317929027228997,0.9615573192730762,19.19598874995738,51.18491732859772,0.18666666666666668,1.0,1.0,6.0,-822.7982979057842,payload_2x,Fuzzy-TD3 residual,14.0,0,0
0.40318700734244306,0.40318700734244306,6.317803859051077,0.9641126473530582,19.12259940931403,46.017845620893425,0.18666666666666668,1.0,1.0,6.0,-830.3739457523844,payload_2x,Fuzzy-TD3 residual,14.0,0,1
0.4016728011687176,0.4016728011687176,6.296161489745519,0.9624275297656095,19.157314976959558,47.88231938741453,0.19,1.0,1.0,6.0,-820.580455978685,payload_2x,Fuzzy-TD3 residual,14.0,0,2
